"","latitude","longitude"
"1",19.02345,74.734712
"2",19.023378,74.734742
"3",19.023196,74.734878
"4",19.023095,74.735074
"5",19.023039,74.735215
"6",19.023034,74.735237
"7",19.023068,74.735115
"8",19.02307,74.735085
"9",19.023082,74.735109
"10",19.02315,74.734898
"11",19.023154,74.734887
"12",19.023081,74.735081
"13",19.023079,74.735103
"14",19.023162,74.734904
"15",19.023169,74.734886
"16",19.022951,74.734964
"17",19.023068,74.735135
"18",19.022953,74.734966
"19",19.023072,74.73511
"20",19.02309,74.735015
"21",19.023156,74.73488
"22",19.023077,74.735093
"23",19.023041,74.735214
"24",19.023077,74.735081
"25",19.02297,74.735148
"26",19.022977,74.734913
"27",19.023219,74.734887
"28",19.023269,74.73509
"29",19.02296,74.735164
"30",19.022965,74.734931
"31",19.023236,74.734874
"32",19.023281,74.735095
"33",19.023055,74.735229
"34",19.022982,74.735257
"35",19.023035,74.7352
"36",19.023106,74.735243
"37",19.023073,74.735231
"38",19.023033,74.735249
"39",19.023075,74.735101
"40",19.023164,74.734902
"41",19.023174,74.734856
"42",19.022956,74.734979
"43",19.023054,74.735124
"44",19.023159,74.734877
"45",19.023078,74.73509
"46",19.023033,74.735226
"47",19.023189,74.735045
"48",19.02303,74.735217
"49",19.027977,74.730731
"50",19.027842,74.730856
"51",19.027304,74.731486
"52",19.027341,74.731373
"53",19.027679,74.731094
"54",19.027725,74.73104
"55",19.027857,74.730886
"56",19.027957,74.730766
"57",19.031127,74.727141
"58",19.031177,74.727004
"59",19.024467,74.726148
"60",19.024332,74.726203
"61",19.019193,74.739224
"62",19.019211,74.739209
"63",19.019206,74.739206
"64",19.019247,74.73917
"65",19.019253,74.739194
"66",19.019212,74.739236
"67",19.019206,74.739245
"68",19.019229,74.739212
"69",19.019077,74.743642
"70",19.01905,74.74375
"71",19.019042,74.743865
"72",19.0186,74.739631
"73",19.018516,74.739603
"74",19.018542,74.738678
"75",19.019157,74.738649
"76",19.019118,74.738608
"77",19.019188,74.738663
"78",19.01988,74.740231
"79",19.019233,74.73921
"80",19.019306,74.739095
"81",19.019321,74.739121
"82",19.019278,74.739187
"83",19.019245,74.739223
"84",19.019247,74.739825
"85",19.019337,74.739886
"86",19.018745,74.738356
"87",19.019165,74.738595
"88",19.019218,74.738642
"89",19.019206,74.739188
"90",19.019242,74.739151
"91",19.01929,74.739093
"92",19.019325,74.739056
"93",19.019259,74.739182
"94",19.01924,74.739208
"95",19.019305,74.739148
"96",19.019335,74.739098
"97",19.019262,74.739179
"98",19.019237,74.739213
"99",19.019518,74.73997
"100",19.019299,74.739846
"101",19.018927,74.738412
"102",19.019003,74.738477
"103",19.019131,74.738587
"104",19.019166,74.738631
"105",19.019119,74.738601
"106",19.019149,74.73862
"107",19.019026,74.73852
"108",19.018981,74.738477
"109",19.018472,74.739529
"110",19.018539,74.739589
"111",19.01925,74.739808
"112",19.019349,74.739868
"113",19.019109,74.743668
"114",19.019075,74.743828
"115",19.01919,74.743425
"116",19.019219,74.739208
"117",19.019288,74.739849
"118",19.019384,74.739906
"119",19.019084,74.743679
"120",19.019041,74.74385
"121",19.018894,74.738397
"122",19.018983,74.738461
"123",19.019114,74.738586
"124",19.019166,74.738638
"125",19.019297,74.739856
"126",19.019163,74.739311
"127",19.019242,74.739208
"128",19.019257,74.739175
"129",19.018992,74.738911
"130",19.01919,74.738834
"131",19.019356,74.738797
"132",19.019429,74.738795
"133",19.019441,74.738866
"134",19.019323,74.739095
"135",19.019275,74.739157
"136",19.01921,74.739236
"137",19.019021,74.739519
"138",19.018701,74.73903
"139",19.018964,74.738926
"140",19.019184,74.738851
"141",19.019362,74.738805
"142",19.019417,74.738828
"143",19.019452,74.738866
"144",19.019454,74.738906
"145",19.01934,74.739075
"146",19.019259,74.739199
"147",19.019218,74.739238
"148",19.019183,74.7393
"149",19.019248,74.739226
"150",19.019304,74.739163
"151",19.019476,74.738923
"152",19.019456,74.738812
"153",19.019262,74.738804
"154",19.019225,74.738823
"155",19.019034,74.738904
"156",19.018906,74.738947
"157",19.018629,74.739057
"158",19.018587,74.739101
"159",19.018769,74.738996
"160",19.018926,74.73894
"161",19.019011,74.738899
"162",19.019125,74.738861
"163",19.019228,74.738815
"164",19.019364,74.73881
"165",19.019417,74.738853
"166",19.019431,74.738903
"167",19.019314,74.739077
"168",19.019265,74.739138
"169",19.019228,74.739177
"170",19.018605,74.739054
"171",19.018631,74.739034
"172",19.018562,74.73906
"173",19.018749,74.738999
"174",19.018807,74.738974
"175",19.018736,74.738992
"176",19.01897,74.738894
"177",19.018976,74.738894
"178",19.018806,74.738958
"179",19.018756,74.738978
"180",19.018735,74.738987
"181",19.018965,74.738909
"182",19.018976,74.738911
"183",19.018804,74.738978
"184",19.018636,74.739045
"185",19.019199,74.739767
"186",19.019307,74.739837
"187",19.019126,74.743621
"188",19.019089,74.743798
"189",19.018572,74.739096
"190",19.018672,74.739051
"191",19.018968,74.73893
"192",19.018972,74.738948
"193",19.018804,74.738996
"194",19.018767,74.738996
"195",19.018959,74.738912
"196",19.01901,74.738897
"197",19.019349,74.738795
"198",19.019435,74.738831
"199",19.019462,74.738867
"200",19.019465,74.738903
"201",19.019339,74.739066
"202",19.019281,74.739141
"203",19.019209,74.739217
"204",19.018584,74.739103
"205",19.018719,74.73905
"206",19.018948,74.738954
"207",19.019177,74.738869
"208",19.019352,74.738829
"209",19.019414,74.738856
"210",19.019327,74.739124
"211",19.019286,74.739181
"212",19.019208,74.739272
"213",19.018662,74.73959
"214",19.018551,74.73959
"215",19.018593,74.73906
"216",19.018721,74.738995
"217",19.018964,74.738895
"218",19.01919,74.738807
"219",19.019352,74.738782
"220",19.019406,74.738814
"221",19.019432,74.738869
"222",19.01934,74.739065
"223",19.019253,74.739179
"224",19.019221,74.73922
"225",19.018604,74.739055
"226",19.018749,74.738985
"227",19.018901,74.738934
"228",19.019001,74.738889
"229",19.01912,74.738847
"230",19.019393,74.738811
"231",19.019426,74.73886
"232",19.019426,74.7389
"233",19.019338,74.739035
"234",19.019257,74.739161
"235",19.019222,74.739202
"236",19.018606,74.739021
"237",19.018629,74.739036
"238",19.018616,74.739068
"239",19.018769,74.73901
"240",19.01882,74.738974
"241",19.018745,74.738996
"242",19.018968,74.738931
"243",19.018974,74.738927
"244",19.018826,74.738984
"245",19.018753,74.739008
"246",19.018809,74.738959
"247",19.018667,74.739026
"248",19.019258,74.739804
"249",19.019361,74.739871
"250",19.01858,74.739065
"251",19.019369,74.7388
"252",19.018531,74.739085
"253",19.018728,74.739027
"254",19.019175,74.738854
"255",19.019357,74.738822
"256",19.019437,74.738831
"257",19.019492,74.738859
"258",19.019527,74.738896
"259",19.0199,74.739227
"260",19.020011,74.739292
"261",19.020052,74.739353
"262",19.019994,74.739285
"263",19.024235,74.726284
"264",19.024375,74.726213
"265",19.023509,74.734672
"266",19.02332,74.734739
"267",19.023153,74.734869
"268",19.023074,74.735038
"269",19.02303,74.735175
"270",19.023158,74.734815
"271",19.023104,74.735047
"272",19.023068,74.735097
"273",19.022931,74.734936
"274",19.023134,74.73488
"275",19.023178,74.735045
"276",19.02315,74.734825
"277",19.022925,74.73493
"278",19.023201,74.734876
"279",19.023265,74.735019
"280",19.023026,74.735189
"281",19.023098,74.735249
"282",19.023125,74.735204
"283",19.023142,74.734897
"284",19.023152,74.734884
"285",19.022977,74.734977
"286",19.023065,74.735099
"287",19.022948,74.734966
"288",19.023147,74.734888
"289",19.023208,74.735056
"290",19.023038,74.735157
"291",19.023231,74.734914
"292",19.023345,74.734782
"293",19.023405,74.734735
"294",19.03115,74.727146
"295",19.031189,74.727024
"296",19.031191,74.726982
"297",19.031147,74.727077
"298",19.028564,74.730519
"299",19.028501,74.730455
"300",19.028104,74.73055
"301",19.027866,74.730857
"302",19.031101,74.727192
"303",19.031182,74.727008
